citation,document_number,end_page,html_url,pdf_url,type,subtype,publication_date,signing_date,start_page,title,disposition_notes,executive_order_number,not_received_for_publication
47 FR 42317, ,"","","",Presidential Document,Executive Order,09/27/1982,1982-09-23,"","Amendments to the Manual for Courts-Martial, United States, 1969 (Revised Edition)","Amends: EO 11476, June 19, 1969 (which was rescinded by EO 12473, April 13, 1984)",12383,""
47 FR 40531, ,"","","",Presidential Document,Executive Order,09/15/1982,1982-09-13,"",President's National Security Telecommunications Advisory Committee,"Amended by: EO 12399, December 31, 1982; EO 12454, December 29, 1983; EO 12534, September 30, 1985; EO 12610, September 30, 1987; EO 12692, September 29, 1989; EO 12774, September 27, 1991; EO 12869, September 30, 1993; EO 12974, September 29, 1995; EO 13062, September 29, 1997; EO 13138, September 30, 1999; EO 13225, September 28, 2001; EO 13286, February 28, 2003; EO 13316, September 17, 2003; EO 13385, September 29, 2005; EO 13618, July 6, 2012
Continued by: EO 13446, September 28, 2007; EO 13511, September 29, 2009; EO 13652, September 30, 2013; EO 13708, September 30, 2015
See: EO 13231, October 16, 2001",12382,""
47 FR 39795, ,"","","",Presidential Document,Executive Order,09/10/1982,1982-09-08,"",Delegation of emergency management functions,"Amends: EO 12148, July 20, 1979",12381,""
47 FR 36605, ,"","","",Presidential Document,Executive Order,08/23/1982,1982-08-18,"",Submarine duty incentive pay,"Amends: EO 11157, June 22, 1964",12380,""
47 FR 36099, ,"","","",Presidential Document,Executive Order,08/19/1982,1982-08-17,"","Termination of boards, committees, and commissions","Amends: EO 12106, December 28, 1978; EO 12107, December 28, 1978; EO 12148, July 20, 1979; EO 12294, February 24, 1981
Revokes: EO 11022, May 14, 1962; EO 11256, November 4, 1965; EO 11330, March 5, 1967; EO 11376, October 17, 1967; EO 11547, July 10, 1970; EO 11654, March 13, 1972; EO 11782, May 6, 1974; EO 11829, January 6, 1975; EO 11853, April 17, 1975; EO 12042, March 6, 1978; EO 12071, July 12, 1978; EO 12075, August 16, 1978; EO 12083, September 27, 1978; EO 12085, September 28, 1978; EO 12089, October 23, 1978; EO 12095, November 2, 1978; EO 12100, November 17, 1978; EO 12121, February 26, 1979; EO 12132, May 8, 1982; EO 12148, July 20, 1979; EO 12159, September 20, 1979; EO 12182, December 14, 1979; EO 12192, February 12, 1980; EO 12194, February 21, 1980; EO 12202, March 18, 1980; EO 12207, April 12, 1980; EO 12240, September 26, 1980; EO 12262, January 7, 1981; EO 12275, January 16, 1981; EO 12285, January 19, 1981; EO 12307, June 4, 1981; EO 12317, August 14, 1981",12379,""
47 FR 34509, ,"","","",Presidential Document,Executive Order,08/10/1982,1982-08-06,"",Joint Mexican-United States Defense Commission,"Amends: EO 9080, February 27, 1942
See: EO 10692, December 22, 1956; EO 13082, May 8, 1998",12377,""
47 FR 34511, ,"","","",Presidential Document,Executive Order,08/10/1982,1982-08-06,"",President's Committee on the Arts and the Humanities,"Amends: EO 12367, June 15, 1982",12378,""
47 FR 34349, ,"","","",Presidential Document,Executive Order,08/09/1982,1982-08-05,"",Presidential Commission on Drunk Driving,"Amends: EO 12358, April 14, 1982
Revoked by: EO 12553, February 25, 1986",12376,""
47 FR 34105, ,"","","",Presidential Document,Executive Order,08/06/1982,1982-08-04,"",Motor Vehicles,"Amends: EO 11912, April 13, 1976",12375,""
47 FR 32903, ,"","","",Presidential Document,Executive Order,07/30/1982,1982-07-28,"",Reports on international organizations,"Amended by: EO 12408, February 23, 1983",12374,""
47 FR 31843, ,"","","",Presidential Document,Executive Order,07/23/1982,1982-07-21,"",Establishing an emergency board to investigate a dispute between the United Transportation Union and certain railroads represented by the National Carriers' Conference Committee of the National Railway Labor Conference,"Revoked by: EO 12553, February 25, 1986",12373,""
47 FR 30959, ,"","","",Presidential Document,Executive Order,07/16/1982,1982-07-14,"",Intergovernmental Review of Federal Programs,"Revokes: Memorandum, November 8, 1968
Amended by: EO 12416, April 8, 1983
Supplemented by: EO 13132, August 4, 1999
See: EO 12612, October 26, 1987",12372,""
47 FR 30449, ,"","","",Presidential Document,Executive Order,07/14/1982,1982-07-12,"",Amending the Generalized System of Preferences,"Amends: Proc. 4707, December 11, 1979; EO 11888, November 24, 1975; EO 12354, March 30, 1982
Amended by: EO 12389, October 25, 1982",12371,""
47 FR 30047, ,"","","",Presidential Document,Executive Order,07/12/1982,1982-07-08,"",Creating an emergency board to investigate a dispute between the Brotherhood of Locomotive Engineers and certain railroads represented by the National Carriers' Conference Committee of the National Railway Labor Conference,"Revoked by: EO 12553, February 25, 1986",12370,""
47 FR 28899, ,"","","",Presidential Document,Executive Order,07/02/1982,1982-06-30,"",President's private sector survey on cost control in the Federal Government,"Amended by: EO 12398, December 31, 1982; EO 12429, June 28, 1983; EO 12447, October 27, 1983; EO 12455, December 29, 1983
Revoked by: EO 12534, September 30, 1985",12369,""
47 FR 27843, ,"","","",Presidential Document,Executive Order,06/28/1982,1982-06-24,"",Drug Abuse Policy Functions,"Revokes: EO 12133, May 9, 1979
Amended by: EO 12590, March 26, 1987",12368,""
47 FR 26119, ,"","","",Presidential Document,Executive Order,06/17/1982,1982-06-15,"",President's Committee on the Arts and the Humanities,"Amended by: EO 12378, August 6, 1982; EO 12399, December 31, 1982; EO 12489, September 28, 1984; EO 12534, September 30, 1985; EO 12593, April 21, 1987; EO 12692, September 29, 1989; EO 12704, February 26, 1990; EO 12774, September 27, 1991; EO 12869, September 30, 1993; EO 12974, September 29, 1995; EO 13062, September 29, 1997; EO 13138, September 30, 1999; EO 13225, September 28, 2001; EO 13316, September 17, 2003; EO 13385, September 29, 2005
Continued by: EO 13446, September 28, 2007; EO 13511;  September 29, 2009; EO 13652;  September 30, 2013; EO 13708;  September 30, 2015
See: EO 13585;  September 30, 2011",12367,""
47 FR 23135, ,"","","",Presidential Document,Executive Order,05/27/1982,1982-05-25,"",Presidential Commission on Broadcasting to Cuba,"Amends: EO 12323, September 22, 1981",12366,""
47 FR 22931, ,"","","",Presidential Document,Executive Order,05/26/1982,1982-05-24,"",Presidential Management Intern Program,"Revokes: EO 12008, August 25, 1977
Amended by: EO 12645, July 12, 1988
Superseded by: EO 13318, November 21, 2003",12364,""
47 FR 22933, ,"","","",Presidential Document,Executive Order,05/26/1982,1982-05-24,"",Foreign assistance and arms control,"Amends: EO 11958, January 18, 1977; EO 12163, September 29, 1979",12365,""
47 FR 22497, ,"","","",Presidential Document,Executive Order,05/25/1982,1982-05-21,"",The Foreign Service of the United States,"Amends: EO 12293, February 23, 1981; EO 12107, December 28, 1978
Revokes: EO 11264, December 31, 1965; EO 11434, November 8, 1968
See: EO 12188, January 4, 1980",12363,""
47 FR 21231, ,"","","",Presidential Document,Executive Order,05/18/1982,1982-05-12,"",Overseas employment,"Amended by: EO 12585, March 3, 1987
Revoked by: EO 12721, July 30, 1990",12362,""
47 FR 18313, ,"","","",Presidential Document,Executive Order,04/29/1982,1982-04-27,"",Multinational Force and Observers reports,"",12361,""
47 FR 17975, ,"","","",Presidential Document,Executive Order,04/27/1982,1982-04-23,"",President's Task Force on Victims of Crime,"Revoked by: EO 12399, December 31, 1982",12360,""
47 FR 17791, ,"","","",Presidential Document,Executive Order,04/26/1982,1982-04-23,"","Public international organizations entitled to enjoy privileges, exemptions, and immunities","",12359,""
47 FR 16311, ,"","","",Presidential Document,Executive Order,04/16/1982,1982-04-14,"",Presidential Commission on Drunk Driving,"Amended by: EO 12376, August 5, 1982; EO 12415, April 5, 1983
Revoked by: EO 12553, February 25, 1986",12358,""
47 FR 15093, ,"","","",Presidential Document,Executive Order,04/08/1982,1982-04-06,"",Sinai Support Mission,"Amends: EO 11896, January 13, 1976
Revoked by: EO 12553, February 25, 1986",12357,""
"47 FR 14874, 15557", ,"","","",Presidential Document,Executive Order,04/06/1982,1982-04-02,"",National Security Information,"Revokes: EO 12065, June 28, 1978
Revoked by: EO 12958, April 17, 1995 (effective date: 180 days after April 17, 1995)
See: Order of Designation, May 7, 1982; EO 12564, September 15, 1986; EO 12547, February 6, 1986; EO 12957, May 13, 1987; Order, May 4, 1990; EO 12829, January 6, 1993; EO 13292, March 25, 2003",12356,""
47 FR 14479, ,"","","",Presidential Document,Executive Order,04/05/1982,1982-04-01,"",The Task Force on Legal Equity for Women,"Amends: EO 12336, December 21, 1981",12355,""
47 FR 13477, ,"","","",Presidential Document,Executive Order,03/31/1982,1982-03-30,"",Amending the Generalized System of Preferences,"Supersedes in part: Proc. 4707, December 11, 1975; Proc. 4768, June 28, 1980
Amends: EO 11888, November 24, 1975; Proc. 4707, December 11, 1979; Proc. 4768, June 28, 1980
Amended by EO 12371, July 12, 1982; EO 12389, October 25, 1982",12354,""
47 FR 12785, ,"","","",Presidential Document,Executive Order,03/25/1982,1982-03-23,"",Charitable fund-raising,"Revokes: EO 10927, March 18, 1961
Amended by: EO 12404, February 10, 1983; EO 13743, October 13, 2016
See: Conenils v. NAACP Legal Defense Educational Fund, Inc. 473 U.S. 788, 105 S. Ct. 3439 (1985)",12353,""
47 FR 12125, ,"","","",Presidential Document,Executive Order,03/22/1982,1982-03-17,"",Federal procurement reforms,"Revoked by: EO 12931 of October 13, 1994",12352,""
47 FR 10503, ,"","","",Presidential Document,Executive Order,03/11/1982,1982-03-09,"",Termination of Urban and Community Impact Analyses,"Revokes: EO 12074, August 16, 1978",12350,""
47 FR 10505, ,"","","",Presidential Document,Executive Order,03/11/1982,1982-03-09,"",Nuclear cooperation with EURATOM,"Revoked by: EO 12553, February 25, 1986
See: EO 12193, February 12, 1980; EO 12295, February 24, 1981; EO 12506, March 4, 1985; EO 12554, February 28, 1986; EO 12753, March 8, 1991; EO 12791, March 9, 1992",12351,""
47 FR 8749, ,"","","",Presidential Document,Executive Order,03/02/1982,1982-02-26,"",Amending the Generalized System of Preferences,"Amends: EO 11888, November 24, 1975",12349,""
47 FR 8547, ,"","","",Presidential Document,Executive Order,03/01/1982,1982-02-25,"",Federal Real Property,"Revokes: EO 11954, January 7, 1977
Revoked by: EO 12512, April 29, 1985",12348,""
47 FR 8149, ,"","","",Presidential Document,Executive Order,02/25/1982,1982-02-23,"",Agreement on Government Procurement,"Amends: EO 12260, December 31, 1980",12347,""
47 FR 5993, ,"","","",Presidential Document,Executive Order,02/10/1982,1982-02-08,"",Synthetic Fuels,"Revokes: EO 12242, September 30, 1980",12346,""
47 FR 5189, ,"","","",Presidential Document,Executive Order,02/04/1982,1982-02-02,"",Physical fitness and sports,"Amends: EO 12258, December 31, 1980
Revokes: EO 11562, September 25, 1970; EO 11945, October 25, 1976; EO 12098, November 14, 1978
Amended by: EO 12399, December 31, 1982; EO 12489, September 28, 1984; EO 12534, September 30, 1985; EO 12539, December 3, 1985; EO 12610, September 30, 1987; EO 12692, September 29, 1989; EO 12694, October 11, 1989; EO 12709, April 4, 1990; EO 12774, September 27, 1991; EO 12869, September 30, 1993; EO 12974, September 29, 1995; EO 13062, September 29, 1997; EO 13138, September 30, 1999; EO 13225, September 28, 2001
Revoked by: EO 13265, June 6, 2002
See: EO 10830, July 24, 1959",12345,""
47 FR 4979, ,"","","",Presidential Document,Executive Order,02/03/1982,1982-02-01,"",Naval Nuclear Propulsion Program,"",12344,""
47 FR 4223, ,"","","",Presidential Document,Executive Order,01/29/1982,1982-01-27,"",Environmental safeguards for animal damage control on Federal lands,"Revokes: EO 11643, February 8, 1972
See: EO 11870, July 18, 1975; EO 11917, May 28, 1976",12342,""
47 FR 4225, ,"","","",Presidential Document,Executive Order,01/29/1982,1982-01-27,"",Designation of certain officers to act as Secretary of State,"Revokes: EO 10839, September 30, 1959
Revoked by: EO 13251, December 28, 2001",12343,""
47 FR 3341, ,"","","",Presidential Document,Executive Order,01/25/1982,1982-01-21,"",Cuban and Haitian entrants,"Amended by: EO 13286, February 28, 2003
Revokes: EO 12251, November 15, 1980",12341,""
47 FR 3071, ,"","","",Presidential Document,Executive Order,01/22/1982,1982-01-20,"","Amendments to the Manual for Courts-Martial, United States, 1969 (Revised Edition)","Amends: EO 11476, June 19, 1969 (which was rescinded by EO 12473, April 13, 1984)
See: EO 11835, January 27, 1975",12340,""
47 FR 2475, ,"","","",Presidential Document,Executive Order,01/18/1982,1982-01-13,"",President's Commission on Housing,"Amends: EO 12310, June 16, 1981",12339,""
47 FR 1367, ,"","","",Presidential Document,Executive Order,01/13/1982,1982-01-11,"",Basic allowance for subsistence for Uniformed Services,"Amends: EO 11157, June 22, 1964",12337,""
47 FR 1369, ,"","","",Presidential Document,Executive Order,01/13/1982,1982-01-11,"",Exclusions from the Federal Labor-Management Relations Program,"Amends: EO 12171, November 19, 1979",12338,""
46 FR 62239, ,"","","",Presidential Document,Executive Order,12/23/1981,1981-12-21,"",The Task Force on Legal Equity for Women,"Revokes in part:  		EO 12050, April 4, 1979
Revokes  		EO 12135, May 9, 1979;  		EO 12258, December 31, 1980
Amended by:  		EO 12355, April 1, 1982",12336,""
46 FR 61633, ,"","","",Presidential Document,Executive Order,12/18/1981,1981-12-16,"",National Commission on Social Security Reform,"Amended by:  		EO 12397, December 23, 1982;  		EO 12402, January 15, 1983
Revoked by:  		EO 12534, September 30, 1985",12335,""
46 FR 59941, ,"","","",Presidential Document,Executive Order,12/08/1981,1981-12-04,"",United States Intelligence Activities,"Amends:  		EO 12139, May 23, 1979
Amended by:  		EO 13284, January 23, 2003;  		EO 13355, August 27, 2004;  		EO 13470, July 30, 2008
Revokes:  		EO 12036, January 24, 1978
See:  		EO 12564, September 15, 1986; Pub. L. 102-396 (106 Stat. 1910);  		EO 12829, January 6, 1993;  		EO 13231, October 16, 2001;  		EO 13283, January 21, 2003;  		EO 13354, August 27, 2004;  		EO 13355, August 27, 2004;  		EO 13356, August 27, 2004;  		EO 13462, February 29, 2008;  		EO 13467, June 30, 2008;  		EO 13470, July 30, 2008;  		EO 13516, October 28, 2009;  		EO 13526, December 29, 2009;  		EO 13549, August 18, 2010;  		EO 13618, July 6, 2012",12333,""
46 FR 59955, ,"","","",Presidential Document,Executive Order,12/08/1981,1981-12-04,"",President's Intelligence Oversight Board,"Amended by:  		EO 12701, February 14, 1990
Revoked by:  		EO 12863, September 13, 1993",12334,""
46 FR 55913, ,"","","",Presidential Document,Executive Order,11/13/1981,1981-11-10,"",Establishment of the National Productivity Advisory Committee,"Committee continued by:  		EO 12399, December 31, 1982
Revoked by:  		EO 12534, September 30, 1985",12332,""
46 FR 51705, ,"","","",Presidential Document,Executive Order,10/22/1981,1981-10-20,"",President's Foreign Intelligence Advisory Board,"Revoked by:  		EO 12537, October 28, 1985",12331,""
46 FR 50919, ,"","","",Presidential Document,Executive Order,10/16/1981,1981-10-14,"",President's Task Force on Private Sector Initiatives,"Revoked by:  		EO 12399, December 31, 1982",12329,""
"46 FR 50921, 51591", ,"","","",Presidential Document,Executive Order,10/16/1981,1981-10-15,"",Adjustments of certain rates of pay and allowances,"Supersedes:  		EO 12248, October 16, 1980;  		EO 12249, October 25, 1980
Superseded by:  		EO 12387, October 8, 1982",12330,""
46 FR 50357, ,"","","",Presidential Document,Executive Order,10/13/1981,1981-10-08,"",Federal employees contracting or trading with Indians,"Amended by:  		EO 12608, September 9, 1987",12328,""
46 FR 48889, ,"","","",Presidential Document,Executive Order,10/05/1981,1981-09-30,"",Central Intelligence Agency Retirement and Disability System,"Amended by:  		EO 12443, September 27, 1983",12326,""
46 FR 48893, ,"","","",Presidential Document,Executive Order,10/05/1981,1981-10-01,"",Exemption for Fort Allen,"Revoked by:  		EO 12553, February 25, 1986",12327,""
46 FR 48617, ,"","","",Presidential Document,Executive Order,10/02/1981,1981-09-30,"",Presidential Task Force on the Arts and Humanities,"Amends:  		EO 12308, June 5, 1981",12325,""
46 FR 48109, ,"","","",Presidential Document,Executive Order,10/01/1981,1981-09-29,"",Interdiction of illegal aliens,"Revoked by:  		EO 12807, May 24, 1992",12324,""
46 FR 47207, ,"","","",Presidential Document,Executive Order,09/25/1981,1981-09-22,"",Presidential Commission on Broadcasting to Cuba,"Amended by:  		EO 12366, May 25, 1982
Revoked by:  		EO 12399, December 31, 1982",12323,""
46 FR 46561, ,"","","",Presidential Document,Executive Order,09/21/1981,1981-09-17,"",Water resources projects,"Revokes:  		EO 12113, January 4, 1979
Amended by:  		EO 12608, September 9, 1987",12322,""
46 FR 46107, ,"","","",Presidential Document,Executive Order,09/17/1981,1981-09-15,"",Historically Black Colleges and Universities,"Revokes:  		EO 12232, August 8, 1980
Revoked by:  		EO 12677, April 28, 1989",12320,""
46 FR 46109, ,"","","",Presidential Document,Executive Order,09/17/1981,1981-09-14,"",Foreign assistance and arms export control,"Amends:  		EO 11958, January 18, 1977;  		EO 12163, September 29, 1979",12321,""
46 FR 45591, ,"","","",Presidential Document,Executive Order,09/14/1981,1981-09-09,"",River Basin Commissions,"Revokes:  		EO 11331, March 6, 1967;  		EO 11345, April 20, 1967;  		EO 11371, September 6, 1967;  		EO 11578, January 13, 1971;  		EO 11658, March 22, 1972;  		EO 11659, March 22, 1972",12319,""
46 FR 42833, ,"","","",Presidential Document,Executive Order,08/25/1981,1981-08-21,"",Statistical policy functions,"Amends:  		EO 10033, February 8, 1949;  		EO 10253, June 11, 1951;  		EO 11541, July 1, 1970;  		EO 11961, January 19, 1977
Revokes:  		EO 12013, October 7, 1977",12318,""
46 FR 42237, ,"","","",Presidential Document,Executive Order,08/20/1981,1981-08-14,"",Responses to environmental damage,"Revokes:  		EO 12286, January 19, 1981
Amended by:  		EO 12418, May 5, 1983
Revoked by:  		EO 12580, January 23, 1987",12316,""
46 FR 42241, ,"","","",Presidential Document,Executive Order,08/20/1981,1981-08-14,"",President's Commission on Hostage Compensation,"Amends:  		EO 12285, January 19, 1981
Revoked by:  		EO 12379, August 17, 1982",12317,""
46 FR 39107, ,"","","",Presidential Document,Executive Order,07/31/1981,1981-07-29,"","Amending the Manual for Courts-Martial, United States, 1969 (Revised Edition)","Amends:  		EO 11476, June 19, 1969 (which was rescinded by  		EO 12473, April 13, 1984)
See:  		EO 12198, March 12, 1980",12315,""
46 FR 38329, ,"","","",Presidential Document,Executive Order,07/27/1981,1981-07-22,"",Federal Regional Councils,"Revokes:  		EO 12149, July 20, 1979
Revoked by:  		EO 12407, February 22, 1983",12314,""
46 FR 36689, ,"","","",Presidential Document,Executive Order,07/15/1981,1981-07-13,"",Specification of hostage return date under Hostage Relief Act of 1980,"",12313,""
46 FR 35251, ,"","","",Presidential Document,Executive Order,07/08/1981,1981-07-02,"",The Meritorious Service Medal,"Amends:  		EO 11448, January 16, 1969",12312,""
46 FR 34305, ,"","","",Presidential Document,Executive Order,07/01/1981,1981-06-29,"",Amending the Generalized System of Preferences,"Amends:  		EO 11888, November 24, 1975; Proc. 4768, June 28, 1981",12311,""
46 FR 31869, ,"","","",Presidential Document,Executive Order,06/18/1981,1981-06-16,"",President's Commission on Housing,"Amended by:  		EO 12339, January 13, 1982
Revoked by:  		EO 12399, December 31, 1982",12310,""
46 FR 30997, ,"","","",Presidential Document,Executive Order,06/12/1981,1981-06-09,"",President's Economic Policy Advisory Board,"Amends:  		EO 12296, March 2, 1981",12309,""
46 FR 30483, ,"","","",Presidential Document,Executive Order,06/09/1981,1981-06-04,"",President's Commission on Hostage Compensation,"Amends:  		EO 12285, January 19, 1981
Revoked by:  		EO 12379, August 17, 1982",12307,""
46 FR 30485, ,"","","",Presidential Document,Executive Order,06/09/1981,1981-06-05,"",Presidential Task Force on the Arts and Humanities,"Amended by:  		EO 12325, September 30, 1981
Revoked by:  		EO 12399, December 31, 1982",12308,""
46 FR 29693, ,"","","",Presidential Document,Executive Order,06/03/1981,1981-06-01,"","Amendments to the Manual for Courts-Martial, United States, 1969 (Revised Edition)","Amends:  		EO 11476, June 19, 1969 (which was rescinded by  		EO 12473, April 13, 1984)
See:  		EO 12198, March 12, 1980",12306,""
46 FR 25421, ,"","","",Presidential Document,Executive Order,05/07/1981,1981-05-05,"",Termination of certain Federal advisory committees,"Revokes:  		EO 11992, May 24, 1977;  		EO 12059, May 11, 1978;  		EO 12064, June 5, 1978;  		EO 12084, September 27, 1978;
Revokes in part:  		EO 12097, November 8, 1978;  		EO 12258, December 31, 1980",12305,""
46 FR 24521, ,"","","",Presidential Document,Executive Order,05/01/1981,1981-04-29,"",Seal for the Panama Canal Commission,"",12304,""
46 FR 21341, ,"","","",Presidential Document,Executive Order,04/10/1981,1981-04-08,"",Presidential Advisory Committee on Federalism,"Revoked by:  		EO 12399, December 31, 1982",12303,""
46 FR 19901, ,"","","",Presidential Document,Executive Order,04/02/1981,1981-04-01,"",Amending the Generalized System of Preferences,"Amends:  		EO 11888, November 24, 1975; Proc 4707, December 11, 1979; Proc. 4768, June 28, 1980",12302,""
46 FR 19211, ,"","","",Presidential Document,Executive Order,03/30/1981,1981-03-26,"",Integrity and efficiency in Federal programs,"Revoked by:  		EO 12625, January 27, 1988
Amended by:  		EO 13118, March 31, 1999",12301,""
46 FR 18683, ,"","","",Presidential Document,Executive Order,03/26/1981,1981-03-23,"",Exceptions from the Competitive Service,"Superseded by:  		EO 12940, November 28, 1994",12300,""
46 FR 17751, ,"","","",Presidential Document,Executive Order,03/20/1981,1981-03-17,"",Presidential Advisory Board on Ambassadorial Appointments,"Revokes:  		EO 11960, February 5, 1977;
Revokes in part:  		EO 12258, December 31, 1980
Revoked by:  		EO 12553, February 25, 1986",12299,""
46 FR 16877, ,"","","",Presidential Document,Executive Order,03/16/1981,1981-03-12,"",International Coffee Agreement of 1976,"Revoked by:  		EO 12553, February 25, 1986",12297,""
46 FR 16879, ,"","","",Presidential Document,Executive Order,03/16/1981,1981-03-12,"",Lake Tahoe region,"Revokes:  		EO 12247, October 15, 1980",12298,""
46 FR 15129, ,"","","",Presidential Document,Executive Order,03/04/1981,1981-03-02,"",President's Economic Policy Advisory Board,"Board continued by:  		EO 12309, June 9, 1981;  		EO 12399, December 31, 1982;  		EO 12489, September 28, 1984;  		EO 12534, September 30, 1985;  		EO 12610, September 30, 1987
Revoked by:  		EO 12692, September 29, 1989",12296,""
46 FR 14111, ,"","","",Presidential Document,Executive Order,02/26/1981,1981-02-24,"",Suspension of litigation against Iran,"Amended by:  		EO 12379, August 17, 1982
See:  		EO 12276, January 19, 1981;  		EO 12277, January 19, 1981;  		EO 12278, January 19, 1981;  		EO 12279, January 19, 1981;  		EO 12280, January 19, 1981;  		EO 12281, January 19, 1981;  		EO 12282, January 19, 1981;  		EO 12283, January 19, 1981;  		EO 12284, January 19, 1981;  		EO 12285, January 19, 1981",12294,""
46 FR 14113, ,"","","",Presidential Document,Executive Order,02/26/1981,1981-02-24,"",Nuclear Cooperation with EURATOM,"Revoked by:  		EO 12608, September 9, 1987
See:  		EO 12351, March 9, 1982;  		EO 12193, February 12, 1980;  		EO 12506, March 4, 1985;  		EO 12554, February 28, 1986;  		EO 12753, March 8, 1991;  		EO 12791, March 9, 1892",12295,""
46 FR 13967, ,"","","",Presidential Document,Executive Order,02/25/1981,1981-02-23,"",Foreign Service Act of 1980,"Amends:  		EO 9154, May 1, 1942;  		EO 10471, July 17, 1953;  		EO 10624, July 28, 1955;  		EO 10903, January 9, 1961;  		EO 11034, June 25, 1962;  		EO 11219, May 6, 1965;  		EO 12027, December 5, 1977;  		EO 12137, May 16, 1979;  		EO 12163, September 29, 1979;  		EO 12228, July 24, 1980
Revokes in part:  		EO 10477, August 1, 1953;  		EO 11264, December 31, 1965;  		EO 11434, November 8, 1968;  		EO 12188, January 2, 1980
Revokes:  		EO 9452, June 26, 1944;  		EO 9514, January 18, 1945;  		EO 9799, November 8, 1946;  		EO 9837, March 27, 1947;  		EO 9932, February 27, 1948;  		EO 10249, June 4, 1951;  		EO 10897, December 2, 1960;  		EO 11636, December 17, 1971;  		EO 12066, June 29, 1978;  		EO 12128, April 4, 1979;  		EO 12145, July 18, 1979
Amended by:  		EO 13325, January 23, 2004",12292,""
46 FR 13969, ,"","","",Presidential Document,Executive Order,02/25/1981,1981-02-23,"",The Foreign Service of the United States,"Amended by:  		EO 12363, May 21, 1982;  		EO 12388, October 14, 1982;  		EO 12536, October 9, 1985;  		EO 13118, March 31, 1999;  		EO 13374, March 14, 2005",12293,""
46 FR 12943, ,"","","",Presidential Document,Executive Order,02/19/1981,1981-02-17,"",Federal exports and excessive regulation,"Revokes:  		EO 12264, January 15, 1981",12290,""
46 FR 13193, ,"","","",Presidential Document,Executive Order,02/19/1981,1981-02-17,"",Federal Regulation,"Revokes:  		EO 12044, March 23, 1978;  		EO 12174, November 30, 1979
Revoked by:  		EO 12866, September 30, 1993
See:  		EO 12498, January 4, 1985;  		EO 12612, October 26, 1987;  		EO 12803, April 30, 1992",12291,""
46 FR 12693, ,"","","",Presidential Document,Executive Order,02/18/1981,1981-02-14,"",Foreign Service Retirement and Disability System,"Amends: Pub. L. 96-465, Foreign Service Act of 1980",12289,""
46 FR 10135, ,"","","",Presidential Document,Executive Order,02/02/1981,1981-01-29,"",Termination of the Wage and Price Regulatory Program,"Revokes:  		EO 12092, November 1, 1978;  		EO 12161, September 28, 1979",12288,""
46 FR 9901, ,"","","",Presidential Document,Executive Order,01/30/1981,1981-01-19,"",Responses to environmental damage,"Revoked by: EO 12316, August 14, 1981",12286,""
46 FR 9909, ,"","","",Presidential Document,Executive Order,01/30/1981,1981-01-28,"",Decontrol of crude oil and refined petroleum products,"",12287,""
46 FR 7913, ,"","","",Presidential Document,Executive Order,01/23/1981,1981-01-19,"",Direction relating to establishment of escrow accounts,"Ratified by: EO 12294, February 24,       1981
See: EO 12160, November 14, 1979; EO       12211, April 17, 1980",12276,""
46 FR 7915, ,"","","",Presidential Document,Executive Order,01/23/1981,1981-01-19,"",Direction to transfer Iranian Government assets,"Ratified by: EO 12294, February 24,       1981
See: EO 12160, November 14 1979; EO       12211, April 17, 1980",12277,""
"46 FR 7917, 10895", ,"","","",Presidential Document,Executive Order,01/23/1981,1981-01-19,"",Direction to transfer Iranian Government assets overseas,"Ratified by: EO 12294, February 24,       1981
See: EO 12160, November 14, 1979; EO       12211, April 17, 1980",12278,""
"46 FR 7917, 10897", ,"","","",Presidential Document,Executive Order,01/23/1981,1981-01-19,"",Direction to transfer Iranian Government assets held by domestic banks,"Ratified by: EO 12294, February 24,       1981
See: EO 12160, November 14, 1979; EO       12211, April 17, 1980",12279,""
46 FR 7921, ,"","","",Presidential Document,Executive Order,01/23/1981,1981-01-19,"",Direction to transfer Iranian Government financial assets held by non-banking institutions,"Ratified by: EO 12294, February 24,       1981
See: EO 12160, November 14, 1979; EO       12211, April 17, 1980",12280,""
46 FR 7923, ,"","","",Presidential Document,Executive Order,01/23/1981,1981-01-19,"",Direction to transfer certain Iranian Government assets,"Ratified by: EO 12294, February 24,       1981
See: EO 12160, November 14, 1979; EO       12211, April 17, 1980; EO 13599, February 5, 2012",12281,""
46 FR 7925, ,"","","",Presidential Document,Executive Order,01/23/1981,1981-01-19,"",Revocation of prohibitions against transactions involving Iran,"Revokes in part: EO 12205, April 7, 1980;       EO 12211, April 17, 1980; Proc. 4702, November       12, 1979
Ratified by: EO 12294, February 24,       1981
See: EO 12160, November 14, 1979; EO       12211, April 17, 1980",12282,""
46 FR 7927, ,"","","",Presidential Document,Executive Order,01/23/1981,1981-01-19,"",Non-prosecution of claims of hostages and for actions at the United States Embassy and elsewhere,"Ratified by: EO 12294, February 24,       1981
See: EO 12160, November 14, 1979; EO       12211, April 17, 1980",12283,""
46 FR 7929, ,"","","",Presidential Document,Executive Order,01/23/1981,1981-01-19,"",Restrictions on the transfer of property of the former Shah of Iran,"Ratified by: EO 12294, February 24,       1981
See: EO 12160, November 14, 1979; EO       12211, April 17, 1980",12284,""
